product_category,product_subcategory,brand,delivery_status,assembly_service_requested,payment_method,order_id,customer_id,product_price,shipping_cost,assembly_cost,total_amount,delivery_window_days,customer_rating,sales_amount
Kitchen,Pantry Cabinet,Wayfair,Pending,True,Credit Card,56566,4432,1794.94,83.11,46.93,1924.98,5,4.9,1924.98
Kitchen,Pantry Cabinet,IKEA,Rescheduled,True,Cash on Delivery,97841,5374,1060.51,93.64,284.93,1439.08,4,3.8,1439.08
Kitchen,Bar Cart,Overstock,Delivered,False,Google Pay,99593,2169,1101.29,0.0,0.0,1101.29,10,4.4,1101.29
Dining Room,Buffet,World Market,Rescheduled,True,PayPal,89840,3803,719.75,105.44,249.74,1074.93,7,4.6,1074.93
Office,Computer Table,Crate & Barrel,Failed Delivery,False,Cash on Delivery,80010,5010,1263.89,71.02,0.0,1334.91,8,3.7,1334.91
Outdoor,Garden Chair,Urban Outfitters,Delivered,False,Debit Card,31417,8573,1237.1,0.0,0.0,1237.1,2,4.0,1237.1
Bedroom,Mattress,HomeGoods,Cancelled,False,Google Pay,59735,5422,219.61,43.36,0.0,262.97,10,1.3,262.97
Bedroom,Chest of Drawers,Crate & Barrel,Failed Delivery,True,Credit Card,93886,4598,2134.61,74.4,44.46,2253.47,4,4.8,2253.47
Kitchen,Bar Cart,Pottery Barn,Rescheduled,True,Cash on Delivery,99733,6313,2318.43,0.0,250.14,2568.57,9,4.8,2568.57
Outdoor,Umbrella,Crate & Barrel,Failed Delivery,True,Bank Transfer,17331,4752,854.12,94.59,217.51,1166.22,13,3.6,1166.22
Bedroom,Dresser,West Elm,In Transit,False,Apple Pay,14207,6168,1403.64,73.45,0.0,1477.09,6,1.3,1477.09
Outdoor,Garden Chair,CB2,Failed Delivery,False,Apple Pay,62581,5386,1315.59,0.0,0.0,1315.59,6,2.7,1315.59
Kitchen,Kitchen Island,HomeGoods,Rescheduled,True,Bank Transfer,18675,4456,2184.81,88.04,129.86,2402.71,7,4.8,2402.71
Outdoor,Umbrella,Urban Outfitters,Cancelled,False,Cash on Delivery,84341,6155,1469.78,98.82,0.0,1568.6,7,2.6,1568.6
Office,Desk,Urban Outfitters,Failed Delivery,True,Debit Card,37869,9179,1273.52,148.07,238.78,1660.37,11,,1660.37
Office,Desk,HomeGoods,Delivered,True,Cash on Delivery,61856,8517,151.4,53.43,,403.86,13,2.1,403.86
Living Room,Armchair,Urban Outfitters,Pending,False,Cash on Delivery,28726,5339,244.58,65.46,0.0,310.04,4,4.1,310.04
Living Room,Coffee Table,CB2,Failed Delivery,True,Bank Transfer,28301,5040,658.53,0.0,56.31,714.8399999999999,11,,714.8399999999999
Dining Room,Bar Stool,World Market,Cancelled,True,Apple Pay,83579,9830,418.8,70.54,98.24,587.58,2,4.7,587.58
Office,Desk,Ashley Furniture,Rescheduled,True,Cash on Delivery,44438,8019,187.91,76.8,42.43,307.14,5,3.4,307.14
Living Room,TV Stand,Ashley Furniture,Failed Delivery,False,PayPal,86484,7543,1425.31,56.9,0.0,1482.21,1,4.3,1482.21
Outdoor,Lounge Chair,Pottery Barn,Failed Delivery,False,Apple Pay,57447,4593,1317.06,123.38,0.0,1440.44,10,3.2,1440.44
Outdoor,Umbrella,Urban Outfitters,Failed Delivery,True,PayPal,28131,9348,592.85,133.07,188.16,914.08,4,3.3,914.08
Living Room,Armchair,Wayfair,Rescheduled,True,Credit Card,74686,2489,2157.19,0.0,179.78,2336.97,6,3.4,2336.97
Kitchen,Bar Cart,Urban Outfitters,Cancelled,False,Apple Pay,16175,2796,488.35,79.01,0.0,567.36,9,3.8,567.36
Office,Office Chair,HomeGoods,Cancelled,True,Google Pay,30033,3621,212.14,41.62,166.4,420.16,6,3.1,420.16
Dining Room,Bar Stool,CB2,Delivered,False,Credit Card,99192,7916,1435.42,0.0,0.0,1435.42,4,,1435.42
Outdoor,Umbrella,Crate & Barrel,Rescheduled,False,PayPal,88172,2040,1718.95,69.15,0.0,1788.1,5,4.9,1788.1
Living Room,Coffee Table,West Elm,Cancelled,True,Cash on Delivery,60432,7252,881.37,80.23,104.55,1066.15,1,3.8,1066.15
Office,Office Chair,Pottery Barn,Pending,False,Cash on Delivery,88104,8668,1319.26,96.94,0.0,1416.2,6,1.2,1416.2
Living Room,Armchair,,Pending,True,Google Pay,79352,5119,1331.02,118.65,90.56,1540.23,5,,1540.23
Office,Computer Table,World Market,Failed Delivery,False,PayPal,82512,1188,926.5,127.57,0.0,1054.07,8,2.2,1054.07
Kitchen,Kitchen Island,Ashley Furniture,In Transit,True,Credit Card,99166,2876,1641.19,144.76,63.23,1849.18,2,1.7,1849.18
Office,Filing Cabinet,Ashley Furniture,Cancelled,False,Debit Card,99353,9797,1058.91,53.26,0.0,1112.17,12,4.4,1112.17
Dining Room,China Cabinet,IKEA,In Transit,True,Cash on Delivery,44973,6573,1356.25,92.51,95.42,1544.18,14,,1544.18
Dining Room,China Cabinet,,Failed Delivery,True,Apple Pay,24621,5808,1523.02,78.86,253.3,1855.18,12,2.1,1855.18
Living Room,Ottoman,Urban Outfitters,Rescheduled,False,Google Pay,66985,3591,291.68,57.4,0.0,349.08,10,1.4,349.08
Living Room,Side Table,World Market,Failed Delivery,True,Bank Transfer,69470,1053,2089.27,126.31,227.84,2443.42,8,1.7,2443.42
Office,Office Chair,HomeGoods,Rescheduled,True,Credit Card,44522,9201,747.41,82.11,66.49,896.01,12,3.7,896.01
Office,Office Chair,Urban Outfitters,Rescheduled,False,Apple Pay,33416,9317,526.61,147.02,0.0,673.63,14,5.0,673.63
Office,Office Chair,Wayfair,Rescheduled,False,Debit Card,23947,5889,346.37,52.13,0.0,398.5,11,1.2,398.5
Dining Room,Buffet,Ashley Furniture,Failed Delivery,True,Credit Card,93748,9317,1773.61,52.89,65.54,1892.04,1,1.4,1892.04
Outdoor,Garden Chair,CB2,Failed Delivery,False,Google Pay,89818,4258,972.32,100.89,0.0,1073.21,7,4.9,1073.21
Bedroom,Nightstand,Crate & Barrel,Delivered,True,Cash on Delivery,30032,7126,693.24,124.63,31.91,849.78,13,2.4,849.78
Living Room,TV Stand,Crate & Barrel,Failed Delivery,False,PayPal,31174,9837,1869.92,,,1977.91,14,,1977.91
Dining Room,China Cabinet,Target,Cancelled,True,Apple Pay,79514,1009,1549.46,143.29,78.59,1771.34,4,2.6,1771.34
Outdoor,Lounge Chair,Ashley Furniture,Failed Delivery,True,Credit Card,88504,6310,787.03,132.07,294.72,1213.82,3,3.4,1213.82
Kitchen,Pantry Cabinet,Urban Outfitters,Pending,True,Cash on Delivery,74042,1319,333.76,35.81,36.74,406.31,5,3.8,406.31
Dining Room,China Cabinet,CB2,Cancelled,False,Bank Transfer,24662,6947,822.02,121.87,0.0,943.89,14,3.5,943.89
Dining Room,Dining Chair,IKEA,Delivered,True,PayPal,50306,4923,1518.86,59.84,174.95,1753.65,5,1.2,1753.65
Dining Room,Buffet,CB2,Failed Delivery,True,Google Pay,17592,4946,376.58,64.84,58.75,500.17,10,3.5,500.17
Bedroom,Mattress,Pottery Barn,Delivered,False,Bank Transfer,84364,2290,1464.28,0.0,0.0,1464.28,11,,1464.28
Kitchen,Bar Cart,Pottery Barn,Delivered,False,Debit Card,21226,8962,462.5,95.89,0.0,558.39,11,3.8,558.39
Office,Filing Cabinet,IKEA,Cancelled,False,Apple Pay,19071,9727,231.45,53.6,0.0,285.05,10,3.8,285.05
Dining Room,Dining Table,Target,In Transit,True,Bank Transfer,26483,3103,1175.27,124.47,274.93,1574.67,5,1.9,1574.67
Bedroom,Wardrobe,Pottery Barn,Pending,True,Google Pay,96474,8787,864.29,126.75,47.59,1038.63,11,,1038.63
Dining Room,Dining Chair,Target,Rescheduled,False,Google Pay,82063,3705,271.25,47.13,0.0,318.38,3,4.1,318.38
Dining Room,Dining Chair,Pottery Barn,Pending,False,Debit Card,44741,9645,588.24,98.18,0.0,686.4200000000001,12,4.2,686.4200000000001
Bedroom,Chest of Drawers,Crate & Barrel,Pending,False,Apple Pay,89507,7932,2214.02,146.73,0.0,2360.75,2,1.1,2360.75
Dining Room,Bar Stool,World Market,In Transit,True,Bank Transfer,37760,9835,1210.66,144.03,73.57,1428.26,10,3.2,1428.26
Living Room,Side Table,IKEA,Delivered,False,Apple Pay,36365,6107,2094.87,80.22,0.0,2175.09,2,,2175.09
Living Room,Sofa,Crate & Barrel,Failed Delivery,False,Google Pay,62296,7118,740.04,88.86,0.0,828.9,11,3.8,828.9
Outdoor,Garden Chair,Target,In Transit,False,Apple Pay,67422,9479,1610.93,133.37,0.0,1744.3,5,,1744.3
Office,Desk,IKEA,Failed Delivery,False,PayPal,69177,2982,1294.74,0.0,0.0,1294.74,9,3.6,1294.74
Bedroom,Bed Frame,,In Transit,True,Credit Card,42493,4681,2854.68,59.17,26.26,2940.11,6,1.5,2940.11
Kitchen,Bar Cart,West Elm,Pending,True,Bank Transfer,18392,6539,1590.04,73.3,31.93,1695.27,3,3.2,1695.27
Living Room,Coffee Table,Overstock,Failed Delivery,True,Google Pay,12757,4770,234.18,84.25,,420.01,5,,420.01
Living Room,Side Table,CB2,Rescheduled,False,Credit Card,87128,4608,346.18,58.62,0.0,404.8,9,2.8,404.8
Outdoor,Umbrella,Pottery Barn,Cancelled,False,Apple Pay,10942,2163,647.69,53.12,0.0,700.8100000000001,14,3.7,700.8100000000001
Living Room,Sofa,World Market,Rescheduled,True,PayPal,92719,1964,940.86,0.0,162.43,1103.29,10,2.3,1103.29
Office,Computer Table,HomeGoods,Failed Delivery,True,Bank Transfer,40007,2104,939.71,0.0,71.5,1011.21,4,4.3,1011.21
Living Room,TV Stand,HomeGoods,Pending,True,Bank Transfer,14117,6413,1181.56,87.43,160.07,1429.06,14,,1429.06
Outdoor,Outdoor Table,Target,Cancelled,False,Cash on Delivery,19287,9423,1489.42,108.65,0.0,1598.07,11,,1598.07
Office,Office Chair,Crate & Barrel,Delivered,True,Credit Card,41195,5562,1455.13,85.16,82.84,1623.13,4,2.4,1623.13
Dining Room,China Cabinet,Target,Delivered,True,Credit Card,97684,8953,529.7,106.1,102.9,738.7,5,2.2,738.7
Bedroom,Mattress,West Elm,Delivered,True,PayPal,38080,9834,1764.02,64.19,43.65,1871.86,4,2.8,1871.86
Outdoor,Outdoor Table,,Delivered,True,Apple Pay,27342,8744,1431.78,58.5,57.87,1548.15,10,,1548.15
Outdoor,Lounge Chair,Crate & Barrel,Cancelled,True,PayPal,41850,8749,951.34,77.32,142.99,1171.65,5,3.4,1171.65
Living Room,Coffee Table,Wayfair,Delivered,False,Credit Card,63354,4119,1109.11,50.77,0.0,1159.88,4,4.1,1159.88
Living Room,Armchair,Urban Outfitters,Delivered,False,Credit Card,22363,2588,1918.13,0.0,0.0,1918.13,9,3.0,1918.13
Office,Office Chair,Urban Outfitters,Failed Delivery,False,PayPal,96374,8062,699.43,57.79,0.0,757.2199999999999,10,2.6,757.2199999999999
Living Room,Armchair,HomeGoods,Pending,False,Debit Card,56438,7939,247.97,49.36,,297.33,14,2.4,297.33
Office,Computer Table,West Elm,Pending,False,Google Pay,63883,8651,648.64,0.0,0.0,648.64,12,2.3,648.64
Outdoor,Patio Set,West Elm,In Transit,False,Credit Card,17100,2612,1025.5,0.0,0.0,1025.5,6,4.3,1025.5
Bedroom,Dresser,World Market,Failed Delivery,True,Bank Transfer,17944,7596,712.22,126.02,97.56,935.8,11,4.0,935.8
Kitchen,Kitchen Cabinet,,Rescheduled,True,Credit Card,54473,2790,2201.34,65.1,216.33,2482.77,5,3.4,2482.77
Dining Room,Buffet,Ashley Furniture,Rescheduled,False,Google Pay,42591,4139,958.64,0.0,0.0,958.64,2,4.9,958.64
Kitchen,Pantry Cabinet,Pottery Barn,Rescheduled,True,Debit Card,34931,9786,1317.97,129.18,286.36,1733.51,10,2.3,1733.51
Living Room,Armchair,Urban Outfitters,In Transit,False,Credit Card,68800,3296,438.05,92.43,0.0,530.48,12,,530.48
Bedroom,Chest of Drawers,Urban Outfitters,Rescheduled,True,Credit Card,65296,4006,1397.61,102.27,137.29,1637.17,5,4.1,1637.17
Outdoor,Outdoor Table,World Market,In Transit,False,PayPal,46509,8579,258.75,32.09,0.0,290.84,5,4.4,290.84
Living Room,Ottoman,Wayfair,Rescheduled,False,Apple Pay,42742,2235,1726.31,81.02,0.0,1807.33,3,4.8,1807.33
Outdoor,Outdoor Table,CB2,Delivered,True,Cash on Delivery,68082,2604,1491.75,132.9,226.27,1850.92,1,1.7,1850.92
Office,Desk,Overstock,Rescheduled,True,Credit Card,16630,9856,401.69,35.32,184.44,621.45,2,3.2,621.45
Outdoor,Outdoor Table,West Elm,Cancelled,True,Apple Pay,11934,2528,1596.05,109.72,59.04,1764.81,12,4.2,1764.81
Living Room,Armchair,Crate & Barrel,In Transit,False,PayPal,40982,3724,1037.89,146.96,,1184.85,13,2.8,1184.85
Office,Desk,Crate & Barrel,Failed Delivery,False,Debit Card,63269,8956,602.33,148.44,0.0,750.77,13,2.5,750.77
Bedroom,Wardrobe,Overstock,Rescheduled,False,Cash on Delivery,73092,4502,544.44,0.0,0.0,544.44,14,4.7,544.44
Living Room,TV Stand,HomeGoods,Pending,False,Debit Card,62565,1960,392.91,37.02,0.0,429.93,9,,429.93
Office,Bookshelf,CB2,Pending,False,PayPal,31579,7209,1401.27,89.65,0.0,1490.92,4,1.3,1490.92
Living Room,Side Table,,Failed Delivery,False,Apple Pay,10282,7396,1694.91,63.76,0.0,1758.67,14,4.3,1758.67
Kitchen,Kitchen Island,Wayfair,In Transit,True,PayPal,44760,8454,2292.89,0.0,77.44,2370.33,12,2.7,2370.33
Living Room,Sofa,Crate & Barrel,Rescheduled,True,Debit Card,47388,7930,748.41,112.28,45.92,906.61,8,1.1,906.61
Outdoor,Garden Chair,Urban Outfitters,Pending,False,Google Pay,82845,8973,630.6,0.0,0.0,630.6,4,1.7,630.6
Dining Room,Dining Table,Wayfair,Cancelled,True,Credit Card,30289,4111,1911.47,128.64,281.0,2321.11,1,4.9,2321.11
Dining Room,Dining Table,Crate & Barrel,Delivered,False,Cash on Delivery,48890,4566,755.12,112.83,0.0,867.95,3,,867.95
Outdoor,Garden Chair,Overstock,Failed Delivery,False,Credit Card,17665,9883,1520.13,148.08,0.0,1668.21,11,1.5,1668.21
Dining Room,Dining Chair,Pottery Barn,Delivered,True,Credit Card,17989,6138,183.23,39.96,193.34,416.53,9,4.3,416.53
Outdoor,Garden Chair,Target,Failed Delivery,False,Apple Pay,17492,1821,622.08,54.78,0.0,676.86,5,,676.86
Outdoor,Lounge Chair,Crate & Barrel,Delivered,False,Cash on Delivery,86569,8811,1626.15,147.37,0.0,1773.52,12,4.7,1773.52
Living Room,Side Table,Pottery Barn,Rescheduled,True,Bank Transfer,75909,9701,1176.35,149.51,132.12,1457.98,2,2.2,1457.98
Office,Desk,IKEA,Pending,False,Bank Transfer,30635,1931,1059.47,54.24,0.0,1113.71,10,2.1,1113.71
Outdoor,Lounge Chair,Ashley Furniture,In Transit,True,Cash on Delivery,76562,2312,749.46,117.94,92.43,959.8300000000002,11,1.1,959.8300000000002
Outdoor,Outdoor Table,West Elm,Rescheduled,True,PayPal,34356,2122,747.55,53.24,292.32,1093.11,6,1.3,1093.11
Office,Bookshelf,Ashley Furniture,Delivered,True,Cash on Delivery,87992,2113,1002.38,0.0,43.39,1045.77,8,4.7,1045.77
Dining Room,Buffet,Ashley Furniture,Failed Delivery,False,Debit Card,98501,4853,507.68,119.4,0.0,627.08,4,,627.08
Outdoor,Lounge Chair,Crate & Barrel,Delivered,False,PayPal,62923,2964,1795.48,146.76,0.0,1942.24,11,1.3,1942.24
Bedroom,Chest of Drawers,West Elm,In Transit,False,Cash on Delivery,84668,5033,2172.26,67.41,0.0,2239.67,9,4.9,2239.67
Office,Office Chair,Crate & Barrel,Failed Delivery,True,Cash on Delivery,85880,1651,592.47,96.74,26.64,715.85,7,3.9,715.85
Office,Computer Table,Crate & Barrel,Cancelled,True,Google Pay,91183,2343,184.73,97.93,219.87,502.53,9,4.5,502.53
Bedroom,Mattress,Target,Rescheduled,True,PayPal,64948,9565,1382.96,55.54,65.21,1503.71,3,3.8,1503.71
Living Room,TV Stand,West Elm,Rescheduled,False,Google Pay,51467,5272,651.49,77.45,0.0,728.94,10,3.0,728.94
Bedroom,Mattress,CB2,Rescheduled,True,Apple Pay,36772,6147,2027.39,110.51,27.03,2164.93,11,2.1,2164.93
Kitchen,Kitchen Island,HomeGoods,Delivered,False,Apple Pay,41285,5351,1395.68,78.97,0.0,1474.65,8,4.2,1474.65
Living Room,Side Table,Target,Cancelled,False,PayPal,61876,3144,337.8,57.97,0.0,395.77,8,3.4,395.77
Outdoor,Outdoor Table,Pottery Barn,Pending,False,PayPal,98039,5915,1759.37,0.0,0.0,1759.37,9,2.3,1759.37
Office,Desk,West Elm,Delivered,False,Google Pay,69929,6180,280.05,28.8,0.0,308.85,14,2.0,308.85
Outdoor,Outdoor Table,Ashley Furniture,Failed Delivery,False,Google Pay,19508,1152,463.23,36.95,0.0,500.18,8,3.0,500.18
Office,Desk,Crate & Barrel,Pending,True,Cash on Delivery,70068,2638,385.51,51.47,149.49,586.47,14,2.9,586.47
Living Room,Armchair,IKEA,Rescheduled,False,Google Pay,19602,9808,508.05,0.0,0.0,508.05,13,1.2,508.05
Bedroom,Dresser,World Market,Cancelled,False,Google Pay,37938,9288,1726.69,,0.0,1726.69,13,4.3,1726.69
Living Room,Coffee Table,CB2,Rescheduled,False,Google Pay,44760,3170,2442.69,129.49,0.0,2572.18,9,4.0,2572.18
Office,Computer Table,World Market,Rescheduled,False,Debit Card,55745,2127,137.16,27.92,,165.08,13,2.8,165.08
Dining Room,China Cabinet,Crate & Barrel,Failed Delivery,False,Bank Transfer,42018,7054,705.21,111.65,0.0,816.86,10,4.3,816.86
Kitchen,Kitchen Cabinet,HomeGoods,Rescheduled,False,PayPal,47353,3584,1344.76,0.0,0.0,1344.76,11,,1344.76
Outdoor,Patio Set,HomeGoods,In Transit,True,Cash on Delivery,67433,9900,1134.9,0.0,39.59,1174.49,3,3.9,1174.49
Outdoor,Garden Chair,CB2,Failed Delivery,True,Google Pay,49651,9666,202.09,96.12,50.95,349.16,6,2.7,349.16
Kitchen,Pantry Cabinet,West Elm,Failed Delivery,True,Google Pay,11025,5905,2220.2,56.23,78.04,2354.47,11,2.5,2354.47
Dining Room,China Cabinet,Wayfair,Rescheduled,False,PayPal,96951,2697,773.15,122.09,0.0,895.24,10,4.8,895.24
Bedroom,Dresser,Overstock,Delivered,False,PayPal,27601,5333,2347.85,119.02,0.0,2466.87,6,3.2,2466.87
Living Room,Ottoman,Wayfair,Cancelled,False,Credit Card,25129,2753,1756.23,148.02,0.0,1904.25,13,2.2,1904.25
Dining Room,Buffet,World Market,Cancelled,False,Google Pay,82512,3546,1346.35,71.4,0.0,1417.75,9,1.5,1417.75
Bedroom,Mattress,Urban Outfitters,In Transit,True,Credit Card,45697,5616,294.68,92.89,52.62,440.19,7,2.9,440.19
Kitchen,Bar Cart,Target,Delivered,False,Bank Transfer,89276,4450,1195.2,137.84,0.0,1333.04,11,4.9,1333.04
Living Room,Sofa,HomeGoods,Failed Delivery,True,Debit Card,54942,4335,1700.29,0.0,70.89,1771.18,14,4.7,1771.18
Outdoor,Outdoor Table,West Elm,Rescheduled,True,Apple Pay,93130,5325,1596.63,0.0,128.46,1725.09,11,3.0,1725.09
Dining Room,Dining Chair,Wayfair,Rescheduled,False,Bank Transfer,76244,9004,1636.75,123.11,0.0,1759.86,12,3.9,1759.86
Bedroom,Mattress,Ashley Furniture,In Transit,False,Debit Card,42914,1832,1891.22,90.55,0.0,1981.77,9,2.6,1981.77
Office,Bookshelf,Target,Delivered,False,Google Pay,22097,7939,1408.87,0.0,0.0,1408.87,4,2.1,1408.87
Outdoor,Umbrella,Crate & Barrel,Cancelled,True,Cash on Delivery,46265,1722,168.87,74.03,41.69,284.59,8,2.6,284.59
Dining Room,Dining Table,World Market,Delivered,True,Apple Pay,10464,6464,1313.55,86.75,97.87,1498.17,8,4.0,1498.17
Outdoor,Umbrella,Pottery Barn,Rescheduled,True,Bank Transfer,27146,5291,1656.11,130.2,84.02,1870.33,10,1.3,1870.33
Dining Room,Dining Table,CB2,Cancelled,True,Google Pay,31178,8239,1842.76,0.0,58.23,1900.99,14,1.5,1900.99
Office,Office Chair,,Cancelled,True,Credit Card,82309,8007,1356.42,55.56,218.52,1630.5,1,3.7,1630.5
Office,Bookshelf,Ashley Furniture,Failed Delivery,True,Credit Card,83519,1158,1239.36,107.83,201.68,1548.87,2,1.2,1548.87
Dining Room,Buffet,HomeGoods,Failed Delivery,False,Credit Card,24663,2232,441.96,35.16,0.0,477.12,6,2.5,477.12
Outdoor,Umbrella,CB2,Pending,True,Cash on Delivery,29536,9938,369.43,89.52,99.64,558.59,7,3.9,558.59
Living Room,TV Stand,West Elm,Delivered,False,Debit Card,14722,7049,1264.91,92.41,0.0,1357.32,14,2.8,1357.32
Outdoor,Patio Set,Urban Outfitters,Cancelled,True,Cash on Delivery,86350,3426,203.16,74.51,60.3,337.97,2,2.8,337.97
Living Room,Coffee Table,World Market,Delivered,True,Google Pay,66333,3088,1903.24,73.43,28.5,2005.17,5,4.7,2005.17
Kitchen,Kitchen Cabinet,Overstock,In Transit,True,Bank Transfer,15482,6050,821.19,148.57,195.08,1164.84,1,3.4,1164.84
Outdoor,Lounge Chair,,Cancelled,False,Apple Pay,57795,1653,1067.15,0.0,0.0,1067.15,11,4.1,1067.15
Office,Desk,Overstock,In Transit,False,Cash on Delivery,56898,4441,505.84,0.0,0.0,505.84,4,2.2,505.84
Office,Office Chair,Pottery Barn,Delivered,True,Credit Card,99399,5088,878.59,105.73,186.43,1170.75,4,1.3,1170.75
Kitchen,Bar Cart,CB2,Failed Delivery,True,Debit Card,97416,2684,413.38,53.29,29.7,496.37,13,3.7,496.37
Dining Room,Bar Stool,World Market,Cancelled,True,Debit Card,56357,7658,1918.34,0.0,43.67,1962.01,13,2.0,1962.01
Office,Desk,Pottery Barn,Failed Delivery,False,Credit Card,91351,3532,863.95,88.07,0.0,952.02,5,3.1,952.02
Outdoor,Lounge Chair,CB2,Cancelled,False,Debit Card,41029,3662,1406.69,70.31,0.0,1477.0,7,,1477.0
Living Room,TV Stand,World Market,In Transit,False,Apple Pay,33206,7755,1472.62,122.0,0.0,1594.62,3,1.9,1594.62
Kitchen,Kitchen Cabinet,West Elm,In Transit,False,Bank Transfer,13248,3938,866.12,146.65,0.0,1012.77,8,4.2,1012.77
Kitchen,Pantry Cabinet,IKEA,Failed Delivery,True,Debit Card,53540,7745,704.91,149.03,45.98,899.92,2,3.7,899.92
Outdoor,Garden Chair,Pottery Barn,Cancelled,True,Apple Pay,97806,5065,262.15,36.33,205.98,504.4599999999999,10,4.7,504.4599999999999
Living Room,Sofa,Overstock,Cancelled,False,Apple Pay,44970,3608,1424.09,51.67,0.0,1475.76,9,1.1,1475.76
Bedroom,Bed Frame,Ashley Furniture,Delivered,False,Apple Pay,24168,7267,2766.44,74.1,0.0,2840.54,14,4.2,2840.54
